pruning Threshold,Gamma,Delta,Lapse Rate,PassCoeff,Weight0,Weight1,Weight2,Weight3
6.4365,0.00452,0.40062,0.01999,1.0006,0.80094,0.47812,0.30557,2.5923,14.992
4.3738,0.00102,0.19963,0.01007,0.56412,1.425,1.5801,0.04177,3.7187,9.1855
9.4901,0.00624,0.39122,0.02311,1.6766,0.82792,0.96558,0.29332,5.0991,30
4.8213,0.005,0.1,0.01,0.76649,0.4,1,0.3,2.5,15
4.0242,0.001,0.0855,0.02303,0.97167,-0.34754,1.5405,0.56091,2.4433,16.381
5,0.00122,0.19412,0.03,0.80407,1.0932,1.5,0.3,2.5,10
8.412,0.005,0.2994,0.01,0.80233,0.79998,0.99829,0.15465,5.3403,20
4.4658,0.001,0.20027,0.01,1.2223,0.75282,1.3843,0.60032,3.3344,15.006
3.4074,0.005,0.21726,0.02765,0.5,0.70283,0.8,0.6,3.3333,7.1578
4.2052,0.001,0.2,0.02,1,0.8,1.0667,0.5,3.5,2000
2.4887,0.001,0.1,0.02174,0.66814,1.0667,1,0.6,2.5,15
7,0.005,0.2,0.02,0.93361,0.8,0.66236,0.3,3.2404,15
0.1,0.00381,0.1,0.02,0.5,0.8,1,0.3,4.6667,15
3.4089,0.00379,0,0.01268,0.86446,0.61127,0.56861,0.54821,3.1825,12.206
2.3964,0.001,0.27035,0.02686,0.98165,0.93788,1.0062,0.25407,3.7962,14.435
1.8565,0.00928,0.10645,0.02453,0.46089,0.76938,0.99272,0.33317,5.4115,68.596
2.807,0.001,0.1853,0.01,0.97766,0.51934,0.97446,0.31238,2.5447,14.796
6.2953,0.00551,0.27137,0.02477,0.44766,0.69485,1.1784,0.539,9.0078,21.427
2.8704,0.001,0.10556,0.02,1,0.8,1,0.3,2.5,15
4.1468,0.001,0.11918,0.01999,0.94574,1.474,1.2576,0.33353,2.5005,19.998
10,0.00717,0.13708,0.01685,0.86235,0.65842,0.84269,0.19775,2.7753,13.742
4.4097,0.01261,0.22994,0.02011,1.0046,0.80536,1.006,0.29613,4.9896,20.048
2.8664,0.001,0.1,0.01889,1,0.89268,0.87389,0.36338,2.5,30
6.8333,0.00815,0.17904,0.01662,0.25,0.22221,1.4795,0.33333,4.2007,15
5.3499,0.00224,0.09274,0.01,0.46144,0.95633,1.369,0.29866,5,15
3.4923,0.001,0.17816,0.0161,0.87157,1.0667,1.1274,-0.35765,2.9323,15
6,0.001,0.1531,0.02,1.0861,0.8,1,0.3,2.5,15
3.5788,0.00479,0.08333,0.02,0.5,0.50823,0.92961,0.3,3.4445,15
3,0.00456,0.10746,0.02049,1.0017,0.75576,1,0.65747,2.5,15
4.2158,0.001,0.0986,0.01679,1,0.42067,0.58309,0.3,2.5,15
3,0.001,0.1727,0.01,0.48519,0.8,1,0.3,2.5,15
2.5167,0.005,0.2,0.02754,0.57485,0.6383,1,0.6,7.7993,20
7.6702,0.00256,0.09232,0.03004,0.41637,0.7009,0.9991,0.39303,3.8056,14.993
6.9224,0.001,0.21301,0.02,1.057,0.91356,0.77436,0.3,3.3333,15
5,0.005,0,0.03,0.5,0.84822,0.8,0.41877,2.5,8.3832
7,0.0025,0.20042,0.02333,0.99999,0.8,0.49593,0.6,5,15
4.3069,0.001,0.08333,0.04,1.0392,0.43719,0.8,0.3,3.5,15
5.0971,0.001,0.20427,0.01492,0.44677,0.52681,0.98934,0.29481,3.3471,14.627
1.0785,0.001,0,0.01667,0.53835,0.69188,1.3415,0.30396,2.8172,14.951
6.8833,0.00203,0.3,0.02667,0.59046,0.8338,0.88281,0.34444,2.5,15
8.146,0.00363,0.2,0.01,1,0.57985,1,0.10373,5.0821,14.345
2.8527,0.00458,0.09681,0.01934,0.50004,0.94845,0.95838,0.29995,6.1009,20.001
1.8213,0.00994,0.13861,0.01892,0.95973,-0.16857,0.54786,0.83962,3.3637,108.97
6.3675,0.00365,0.22658,0.01,0.77272,1.0338,0.9406,0.23117,4.0844,12.922
6.8502,0.001,0.4,0.02,1,0.8,0.65471,0.34157,2.5,11.633
5,0.001,0.1,0.02,1,0.8,1,0.3,3.3333,15
10,0.001,0.21777,0.01484,0.37915,1.0401,0.81439,1.1834,7.0489,12.495
8.8241,0.001,0.25411,0.01859,0.87197,1.3373,0.79977,0.20482,5.0582,166.42
3.6813,0.00386,0.18132,0.01667,0.49992,0.37579,0.82035,1.6979,9.2839,37.029
2.5167,0.001,0.04292,0.01,0.48881,0.4,1.1004,0.53554,3.3333,180
10,0.00234,0.1431,0.02342,0.57818,1.0232,1.248,0.49869,2.9341,13.016
2.0286,0.00472,0.10693,0.01998,0.49973,1.7157,0.99854,0.49959,5.8252,19.988
3.8326,0.005,0.21292,0.02,1,0.8,0.8,0.43148,5,30
5.2777,0.001,0.16667,0.01,0.5,0.4,1.2428,1e-05,3.5,9.9999
1.55,0.005,0.2,0.02,0.5,0.80001,1.0773,0.4,5.6854,26.667
5.8515,0.001,0.16366,0.01758,0.99211,0.6379,0.8756,0.39413,2.4842,8.1922
7.0004,0.001,0.20004,0.03,1.0001,0.92665,0.7999,0.29993,2.4998,14.999
2.4215,0.001,0.20338,0.01193,0.46311,0.28359,1.0488,0.32555,7.2532,41.182
8.8745,0.00409,0.10285,0.01857,0.33597,0.76088,1.0912,0.49594,4.7122,6.5872
4.2075,0.001,0.10488,0.01,0.95498,0.93575,0.99031,0.31963,2.9214,13.342
3.0034,0.001,0.09843,0.01508,0.68014,0.79292,1.0878,0.67256,3.3196,15.063
3.2942,0.00612,0,0.01,1,0.4,1,0.3,3.5,15
4.1833,0.001,0.10308,0.01,0.51509,0.19629,1.1711,0.42075,3.5,30
3.1039,0.001,0.08313,0.01,1,0.68253,0.87067,0.3,3.5,15
10,0.001,0.2,0.02369,1,0.8,0.75151,0.3,2.5,20
4.5213,0.001,0.10442,0.01,0.77109,0.57201,1.4297,0.28827,3.4503,15.027
3.3333,0.001,0.08488,0.0118,0.57283,0.4,0.99336,0.22673,3.7757,20.573
6.702,0.001,0.13854,0.01554,0.37787,1.0427,1.2433,0.38841,3.2412,17.445
2.7719,0.00354,0.06867,0.02464,0.45602,0.79673,0.89815,0.67522,9.2917,26.569
8.4314,0.00154,0.10898,0.01,1.5189,2.089,0.54645,0.6855,2.8403,12.746
2.7161,0.001,0.0943,0.01,0.68672,1.1987,0.77599,0.6765,3.3635,10.211
1.1088,0.00803,0.18777,0.02041,0.45864,0.48317,1.4443,0.18025,6.72,114.23
3,0.001,0.06312,0.015,0.5,0.56684,0.68201,0.5,3.0291,15
2.55,0.001,0.1,0.016,0.25,0.8,1,0.1087,3.5,15
6,0.00233,0.16667,0.01,1,1.1353,0.99999,0.3,3.5,30
3.1374,0.0014,0.16667,0.02,0.5184,1.1939,1.4358,0.3,3.3333,15
9.4577,0.001,0.21216,0.0111,1.5027,1.1136,1.0062,0.59596,1.7009,7.452
8.8423,0.001,0.06796,0.02961,1.0085,1.1032,0.99027,0.30632,2.8508,14.922
3.0102,0.001,1e-05,0.01171,0.6468,0.70588,0.88889,0.5,7,20
10,0.00123,0.21466,0.01,0.64173,1.0402,1.1997,0.24329,3.6834,13.14
7.2222,0.001,0.13093,0.0125,1,0.8,1,0.4,2.5,15
3.0587,0.001,0.16667,0.01833,0.34286,0.69115,0.91667,0.24583,3.9552,14.333
5.0004,0.001,0.24996,0.01757,1.0001,0.80003,0.99988,0.29992,3.3336,14.999
6,0.001,0.03958,0.01083,0.5,0.62456,0.59038,0.36404,4.0774,10
6,0.001,0.03958,0.01083,0.5,0.62456,0.59038,0.36404,4.0774,10
6.911,0.001,0.19061,0.01529,0.86824,0.86455,1.0204,0.29118,3.4047,14.864
6.911,0.001,0.19061,0.01529,0.86824,0.86455,1.0204,0.29118,3.4047,14.864
4.4192,0.001,0.28786,0.02849,0.30052,0.62864,1,0.3,3.5,15
2.5167,0.001,0.01354,0.01703,0.7013,1.1266,0.98271,0.6,5,30
8.018,0.001,0.04954,0.01684,1.1151,0.7959,1.0003,0.39704,2.5653,14.964
8.018,0.001,0.04954,0.01684,1.1151,0.7959,1.0003,0.39704,2.5653,14.964
10,0.001,0.26573,0.03263,0.89275,0.66674,0.99245,0.50682,3.6051,16.315
10,0.001,0.26573,0.03263,0.89275,0.66674,0.99245,0.50682,3.6051,16.315
10,0.001,0.26573,0.03263,0.89275,0.66674,0.99245,0.50682,3.6051,16.315
8.1547,0.001,0.06352,0.01833,0.78125,0.35833,0.80434,0.5625,3.742,28
9.7251,0.001,0.19475,0.02101,0.99762,0.81682,0.82726,0.24531,2.546,15.234
2.1173,0.00193,0.25071,0.01095,0.42545,0.3926,1.4527,0.59423,4.2078,26.379
3.4328,0.00194,0.05926,0.01982,0.5,0.8,1.3333,1.35,5.3704,28.432
4.0965,0.001,0.09815,0.02333,0.5,0.8,1.2419,0.3,3.5,13.12
5.4515,0.001,0.1,0.01409,0.82176,0.57429,0.79747,0.3,3.7192,12.706
7,0.001,0.1,0.02,0.5,0.8,0.8,0.19862,6.1239,20
7.9702,0.0013,0.07253,0.0231,0.49586,0.39533,0.80598,0.46224,5.1933,10.081
7.9702,0.0013,0.07253,0.0231,0.49586,0.39533,0.80598,0.46224,5.1933,10.081
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
3,0.001,0.1,0.01,0.58333,0.69455,0.8,0.5,7,20
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
7,0.001,0.06952,0.015,1,0.38545,1,0.6,2.5,15
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
8.3006,0.001,0.175,0.01097,0.49194,0.74374,1.0625,0.34063,5.7969,15.5
6.9039,0.001,0.2,0.02,0.62499,0.48963,1,0.3,5,15
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
9.9999,0.001,0.20291,0.0164,0.39246,1.025,1.3622,0.1375,4.2923,17
7,0.001,0.12994,0.02,0.94787,0.71338,1,-0.26226,3.8932,15
pruning Threshold,Gamma,Delta,Lapse Rate,PassCoeff,Weight0,Weight1,Weight2,Weight3
3,0.0055,0.2,0.02,0.99999,0.17814,0.68676,0.4,2.5,9.5775
4.7048,0.47066,0.34341,0.02395,1.4975,0.67879,1.3955,0.25788,6.887,13.025
2.985,0.02077,0.23404,0.01492,0.95158,0.64488,1.0077,0.32795,3.7547,7.0719
4.7414,0.01327,0.22899,0.01,1.6809,0.27649,0.44463,0.61712,1.6252,14.248
6.4632,0.005,0.2427,0.02107,1.1751,0.43932,0.48067,0.2937,3.7703,16.744
2.8389,0.00667,0.34658,0.02,1.1667,1.0667,0.50709,0.3,3.3333,15
3.2261,0.00407,0.23038,0.02232,1.1015,0.31883,0.69564,0.58696,2.7029,9.3623
8.9366,0.00701,0.40324,0.01137,1.7228,1.2142,0.35822,0.12947,4.3966,10.94
1.7448,0.02252,0.2,0.02846,1.0226,-0.26625,1.0482,0.34074,2.1328,17.037
4.0039,0.00735,0.3,0.03,1,0.4581,1,0.3,3.3333,30
4.6953,0.01865,0.33802,0.02207,1.0904,0.59695,0.28619,0.2898,3.6843,14.174
5.0511,0.00367,0.29876,0.02035,1.0093,0.43655,0.78442,0.29731,2.4697,11.805
0.1,0.0161,0.21696,0.02206,0.51912,0.32808,0.93395,0.46678,3.7312,15.822
8.6667,0.01069,0.37778,0.01954,1.0367,0.71928,1,0.3,4.658,11.677
0.1,0.001,0.2115,0.02,1,0.8,0.81802,0.16628,2.5,15
1.464,0.01389,0.16425,0.02879,0.77362,0.60878,0.88713,0.73042,3.4476,16.053
0.84579,0.00497,0.19461,0.01838,0.66296,0.40277,0.97366,0.3089,2.5461,20.035
8.45,0.01046,0.63639,0.01113,1.4305,0.33981,0.44213,0.20208,4.2865,23.494
5,0.01,0.21111,0.01,0.5,0.4,1,0,3.5,18.333
3.6448,0.01382,0.28468,0.02012,0.98031,0.60952,1.0751,0.60399,4.9893,15.049
3,0.01118,0.20036,0.02,0.25,0.6169,0.04728,0.3,2.5,15
1.0606,0.0264,0.2,0.02,0.95833,0.466,1,0.3,2.5,15
3.55,0.01114,0.2,0.02,1,0.8,0.72045,0.66667,2.5,15
1.2451,0.001,0.31965,0.01626,1.0111,0.97422,0.8226,0.51336,2.4676,15.148
5.275,0.015,0.3,0.02,1.1255,0.68178,0.99999,1,2.5,15
1.0667,0.001,0.25249,0.0201,0.99564,0.8003,0.93053,0.29942,2.7475,19.96
7,0.01891,0.1,0.015,1.879,0.8,0.63367,0.4,2.5,15
6.236,0.00367,0.40097,0.01756,1.0137,0.79951,0.67907,0.29921,3.5483,7.0633
2.9362,0.00392,0.20073,0.04405,0.49566,0.45466,0.64779,0.60565,7.7565,36.583
5.0137,0.00846,0.20001,0.03295,1.004,0.63902,0.598,0.4974,2.5081,11.709
1.0281,0.001,0.02829,0.01,0.5625,0.58315,0.5,0.625,2.7593,6.8246
4.0248,0.00619,0.18133,0.01576,0.5,0.2074,1.812,0.26331,3.9059,20
5.0016,0.00399,0.14966,0.01,0.999,-0.04881,0.84234,0.22343,3.7299,15.009
1.7103,0.00548,0.3,0.03248,1,0.8,0.8,0.3,3.5,15
3.3605,0.007,0.17697,0.02129,0.50058,0.39461,0.93095,0.4406,5.9607,16.605
3,0.005,0.20089,0.02,1,0.55113,1,0.4,3.4777,6.9039
1.6253,0.01,0.30707,0.01,0.5,0.8,0.75471,0.6,5,19.636
2.5071,0.00437,0.19946,0.02108,0.65293,0.67476,0.82245,0.3968,2.4931,15.039
8.0006,0.007,0.2199,0.02,0.99988,0.79988,1.0001,0.29991,3.4873,14.999
3.3318,0.001,0.11146,0.0184,0.84756,0.31976,0.82293,0.37537,2.5552,7.6781
8,0.001,0.18889,0.01891,0.99691,0.60775,1,0.61729,2.779,15.926
4.5288,0.001,0,0.03,0.25,0.8916,1.0177,0.36289,3.1576,10.76
3,0.01,0.18578,0.02,1,0.8,1,0.3,2.5,15
5,0.01,0.1,0.03,1,0.8,1,0.5,2.5,15
5,0.005,0.2,0.01,0.25,0.48243,0.99999,1.4696,2.5,15
5,0.004,0.2,0.02,0.95433,0.90396,1,0.3,3.3333,15
6,0.001,0.4,0.02,1.5,0.8,-0.37472,0.3,2.5,15
0.1,0.00269,0.1254,0.02,0.5,0.79999,1,0.41723,3.309,30
6.8501,0.001,0.50609,0.01,1.2752,0.24996,0.42065,0.18801,3.7225,18.999
1.7298,0.01999,0.20729,0.02001,1.0558,0.39979,0.79974,-0.08847,3.9571,22.22
5.85,0.005,0.30362,0.02,0.67594,1,1.0085,0.78037,5,30
2.1842,0.00396,0.15959,0.02642,1,0.77574,0.86667,0.31111,2.8503,15
8.5,0.00789,0.2,0.02304,0.99999,0.42663,0.69097,0.4049,5,8.7264
4.7278,0.01,0.1,0.02073,0.25,-0.14747,0.8,1.1722,3.5,13.333
3.5396,0.001,0.07605,0.02001,0.85193,1.1866,0.99891,0.2176,2.2254,29.989
9.5,0.01022,0.2734,0.02,1.6405,0.48391,0.65803,0.3,3.9069,58.744
4.0855,0.00369,0.15455,0.01079,0.96848,1.5643,1,1.0617,3.2346,17.222
3.2486,0.001,0.2,0.01,1,1.0667,1,0.3,2.5,10
3.5577,0.00891,0.20169,0.03,1,0.63423,0.61971,0.3,2.5,20
2.9129,0.00748,0.30319,0.02934,0.7165,0.65617,1.0447,0.32903,6.5387,17.373
3,0.00661,0.24444,0.02,0.66843,0.51065,1,0.66667,3.3333,15
3.2,0.00733,0.26831,0.01083,1,0.88889,1,0.05993,3.8889,16.616
3.0067,0.00498,0.20137,0.01,0.80765,0.61767,0.61205,0.29778,4.6744,20.031
3.743,0.009,0.04807,0.01,0.25,1.0208,1.682,0.42443,4.2084,17.25
7.6222,0.001,0.3,0.01711,1.9028,0.8,0.09128,0.5,2.5,10
2.998,0.0052,0.24639,0.01754,0.90991,0.38357,0.89131,0.34356,3.3315,15.008
5,0.001,0.4,0.0229,1,0.8,1,0.3,2.5,20
7,0.00593,0.23259,0.02,1,0.53334,1,0.3,5.3377,15
7.0295,0.00226,0.29075,0.01,1.1255,0.63994,0.92353,0.28222,4.9743,19.713
4.0863,0.00496,0.27775,0.02004,0.67868,1.6717,0.99497,0.29673,4.6866,24.98
6.4365,0.00452,0.40062,0.01999,1.0006,0.80094,0.47812,0.30557,2.5923,14.992
4.3738,0.00102,0.19963,0.01007,0.56412,1.425,1.5801,0.04177,3.7187,9.1855
9.4901,0.00624,0.39122,0.02311,1.6766,0.82792,0.96558,0.29332,5.0991,30
4.8213,0.005,0.1,0.01,0.76649,0.4,1,0.3,2.5,15
4.0242,0.001,0.0855,0.02303,0.97167,-0.34754,1.5405,0.56091,2.4433,16.381
5,0.00122,0.19412,0.03,0.80407,1.0932,1.5,0.3,2.5,10
8.412,0.005,0.2994,0.01,0.80233,0.79998,0.99829,0.15465,5.3403,20
4.4658,0.001,0.20027,0.01,1.2223,0.75282,1.3843,0.60032,3.3344,15.006
3.4074,0.005,0.21726,0.02765,0.5,0.70283,0.8,0.6,3.3333,7.1578
4.2052,0.001,0.2,0.02,1,0.8,1.0667,0.5,3.5,2000
2.4887,0.001,0.1,0.02174,0.66814,1.0667,1,0.6,2.5,15
7,0.005,0.2,0.02,0.93361,0.8,0.66236,0.3,3.2404,15
0.1,0.00381,0.1,0.02,0.5,0.8,1,0.3,4.6667,15
3.4089,0.00379,0,0.01268,0.86446,0.61127,0.56861,0.54821,3.1825,12.206
2.3964,0.001,0.27035,0.02686,0.98165,0.93788,1.0062,0.25407,3.7962,14.435
1.8565,0.00928,0.10645,0.02453,0.46089,0.76938,0.99272,0.33317,5.4115,68.596
2.807,0.001,0.1853,0.01,0.97766,0.51934,0.97446,0.31238,2.5447,14.796
6.2953,0.00551,0.27137,0.02477,0.44766,0.69485,1.1784,0.539,9.0078,21.427
2.8704,0.001,0.10556,0.02,1,0.8,1,0.3,2.5,15
4.1468,0.001,0.11918,0.01999,0.94574,1.474,1.2576,0.33353,2.5005,19.998
10,0.00717,0.13708,0.01685,0.86235,0.65842,0.84269,0.19775,2.7753,13.742
4.4097,0.01261,0.22994,0.02011,1.0046,0.80536,1.006,0.29613,4.9896,20.048
2.8664,0.001,0.1,0.01889,1,0.89268,0.87389,0.36338,2.5,30
6.8333,0.00815,0.17904,0.01662,0.25,0.22221,1.4795,0.33333,4.2007,15
5.3499,0.00224,0.09274,0.01,0.46144,0.95633,1.369,0.29866,5,15
3.4923,0.001,0.17816,0.0161,0.87157,1.0667,1.1274,-0.35765,2.9323,15
6,0.001,0.1531,0.02,1.0861,0.8,1,0.3,2.5,15
3.5788,0.00479,0.08333,0.02,0.5,0.50823,0.92961,0.3,3.4445,15
3,0.00456,0.10746,0.02049,1.0017,0.75576,1,0.65747,2.5,15
4.2158,0.001,0.0986,0.01679,1,0.42067,0.58309,0.3,2.5,15
3,0.001,0.1727,0.01,0.48519,0.8,1,0.3,2.5,15
2.5167,0.005,0.2,0.02754,0.57485,0.6383,1,0.6,7.7993,20
7.6702,0.00256,0.09232,0.03004,0.41637,0.7009,0.9991,0.39303,3.8056,14.993
6.9224,0.001,0.21301,0.02,1.057,0.91356,0.77436,0.3,3.3333,15
5,0.005,0,0.03,0.5,0.84822,0.8,0.41877,2.5,8.3832
7,0.0025,0.20042,0.02333,0.99999,0.8,0.49593,0.6,5,15
4.3069,0.001,0.08333,0.04,1.0392,0.43719,0.8,0.3,3.5,15
5.0971,0.001,0.20427,0.01492,0.44677,0.52681,0.98934,0.29481,3.3471,14.627
1.0785,0.001,0,0.01667,0.53835,0.69188,1.3415,0.30396,2.8172,14.951
6.8833,0.00203,0.3,0.02667,0.59046,0.8338,0.88281,0.34444,2.5,15
8.146,0.00363,0.2,0.01,1,0.57985,1,0.10373,5.0821,14.345
2.8527,0.00458,0.09681,0.01934,0.50004,0.94845,0.95838,0.29995,6.1009,20.001
1.8213,0.00994,0.13861,0.01892,0.95973,-0.16857,0.54786,0.83962,3.3637,108.97
6.3675,0.00365,0.22658,0.01,0.77272,1.0338,0.9406,0.23117,4.0844,12.922
6.8502,0.001,0.4,0.02,1,0.8,0.65471,0.34157,2.5,11.633
5,0.001,0.1,0.02,1,0.8,1,0.3,3.3333,15
